"Country","Method","Energy.type","Last.stage","IEAMW","Chopped.mat","Chopped.var","Product.aggregation","Industry.aggregation","GrossNet","var","1971","2000"
"Africa","PCM","X","Final","Both","None","None","Specified","Specified","Gross","EX.p",2277327.18347819,5043149.38786394
"Africa","PCM","X","Final","Both","None","None","Specified","Specified","Gross","EX.f",1662257.65371858,2621053.79825095
"Africa","PCM","X","Final","Both","None","None","Specified","Specified","Gross","EX.u",242664.445676675,573877.499519128
"Africa","PCM","X","Final","Both","None","None","Specified","Specified","Gross","eta_pf",0.72991604622213,0.519725591424749
"Africa","PCM","X","Final","Both","None","None","Specified","Specified","Gross","eta_fu",0.145984856880532,0.218949149346756
"Africa","PCM","X","Final","Both","None","None","Specified","Specified","Gross","eta_pu",0.106556689542541,0.113793476136188
"Africa","PCM","X","Final","Both","None","None","Specified","Specified","Net","EX.p",2277327.18347819,5043149.38786394
"Africa","PCM","X","Final","Both","None","None","Specified","Specified","Net","EX.f",1621107.13569369,2472453.34654375
"Africa","PCM","X","Final","Both","None","None","Specified","Specified","Net","EX.u",228482.62645593,539042.195276807
"Africa","PCM","X","Final","Both","None","None","Specified","Specified","Net","eta_pf",0.71184639056464,0.490259787364929
"Africa","PCM","X","Final","Both","None","None","Specified","Specified","Net","eta_fu",0.140942335904382,0.2180191573808
"Africa","PCM","X","Final","Both","None","None","Specified","Specified","Net","eta_pu",0.100329293091283,0.106886025738992
"Africa","PCM","X","Final","IEA","None","None","Specified","Specified","Gross","EX.p",2121918.35850371,4888656.94555348
"Africa","PCM","X","Final","IEA","None","None","Specified","Specified","Gross","EX.f",1586320.85338489,2543833.4760042
"Africa","PCM","X","Final","IEA","None","None","Specified","Specified","Gross","EX.u",237593.823195316,568448.463725066
"Africa","PCM","X","Final","IEA","None","None","Specified","Specified","Gross","eta_pf",0.747588071439045,0.520354261781033
"Africa","PCM","X","Final","IEA","None","None","Specified","Specified","Gross","eta_fu",0.149776649968597,0.223461350393884
"Africa","PCM","X","Final","IEA","None","None","Specified","Specified","Gross","eta_pu",0.111971236896625,0.116279066020802
"Africa","PCM","X","Final","IEA","None","None","Specified","Specified","Net","EX.p",2121918.35850371,4888656.94555348
"Africa","PCM","X","Final","IEA","None","None","Specified","Specified","Net","EX.f",1545170.33536,2395233.024297
"Africa","PCM","X","Final","IEA","None","None","Specified","Specified","Net","EX.u",223412.003974571,533613.159482745
"Africa","PCM","X","Final","IEA","None","None","Specified","Specified","Net","eta_pf",0.728194998251295,0.48995727271794
"Africa","PCM","X","Final","IEA","None","None","Specified","Specified","Net","eta_fu",0.144587298152161,0.222781313579859
"Africa","PCM","X","Final","IEA","None","None","Specified","Specified","Net","eta_pu",0.105287747325072,0.109153324814108
