"IEA.country.name","Flow","Product","2000"
"South Africa","Total energy supply; Energy industry own use; Coal mines","Electricity",0.919040862077086
"South Africa","Total energy supply; Energy industry own use; Oil and gas extraction","Electricity",0
"Ghana","Total energy supply; Energy industry own use; Gasification plants for biogases","Electricity",0.0607317352984832
"Ghana","Total energy supply; Energy industry own use; Gasification plants for biogases","Refinery gas",0.206625819127905
"Ghana","Total energy supply; Energy industry own use; Gasification plants for biogases","Charcoal",0.663
"Ghana","Total energy supply; Energy industry own use; Gasification plants for biogases","Liquefied petroleum gases (LPG)",0.520620320197727
"Ghana","Total energy supply; Energy industry own use; Gasification plants for biogases","Other kerosene",0.6
"Ghana","Total energy supply; Energy industry own use; Gasification plants for biogases","Primary solid biofuels",0.509634976512191
"Ghana","Total energy supply; Energy industry own use; Gasification plants for biogases","Fuel oil",0.55655
"Ghana","Total energy supply; Energy industry own use; Gasification plants for biogases","Gas/diesel oil excl. biofuels",0.681776932918112
"Ghana","Total energy supply; Energy industry own use; Gasification plants for biogases","Motor gasoline excl. biofuels",0.82688895412871
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Electricity",0.258456073647586
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Gas works gas",0.466680729604539
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Refinery gas",0.206625819127905
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Blast furnace gas",0.696153846153846
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Coke oven coke",0.696153846153846
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Coke oven gas",0.696153846153846
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Other bituminous coal",0.456818595946659
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Charcoal",0.663
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Fuel oil",0.579655783011601
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Gas/diesel oil excl. biofuels",0.716764393410673
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Liquefied petroleum gases (LPG)",0.512217848748359
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Motor gasoline excl. biofuels",0.82052626243278
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Other kerosene",0.616182312250683
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Primary solid biofuels",0.540921196079415
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Kerosene type jet fuel excl. biofuels",0.794507963118189
"South Africa","Total energy supply; Energy industry own use; Coke ovens","Electricity",0
"Ghana","Total energy supply; Energy industry own use; Oil refineries","Refinery gas",0.206625819127905
"South Africa","Total energy supply; Energy industry own use; Oil refineries","Electricity",0.449271530980861
"South Africa","Total energy supply; Energy industry own use; Oil refineries","Gas works gas",0.206625819127905
"South Africa","Total energy supply; Energy industry own use; Oil refineries","Refinery gas",0.206625819127905
