"IEA.country.name","Flow","Product","2000"
"South Africa","Total energy supply; Energy industry own use; Coal mines","Electricity",0.919040862077086
"South Africa","Total energy supply; Energy industry own use; Oil and gas extraction","Electricity",0.773668587057275
"Ghana","Total energy supply; Energy industry own use; Gasification plants for biogases","Electricity",0.80830517202513
"Ghana","Total energy supply; Energy industry own use; Gasification plants for biogases","Refinery gas",0.895721152655895
"Ghana","Total energy supply; Energy industry own use; Gasification plants for biogases","Charcoal",0.893028514784848
"Ghana","Total energy supply; Energy industry own use; Gasification plants for biogases","Liquefied petroleum gases (LPG)",0.948275544269636
"Ghana","Total energy supply; Energy industry own use; Gasification plants for biogases","Other kerosene",0.90781187190138
"Ghana","Total energy supply; Energy industry own use; Gasification plants for biogases","Primary solid biofuels",0.721206708941259
"Ghana","Total energy supply; Energy industry own use; Gasification plants for biogases","Fuel oil",0.55655
"Ghana","Total energy supply; Energy industry own use; Gasification plants for biogases","Gas/diesel oil excl. biofuels",0.681776932918112
"Ghana","Total energy supply; Energy industry own use; Gasification plants for biogases","Motor gasoline excl. biofuels",0.82688895412871
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Electricity",0.734463099497864
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Gas works gas",0.735994929370317
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Refinery gas",0.895721152655895
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Blast furnace gas",0.742732829725329
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Coke oven coke",0.742732829725329
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Coke oven gas",0.742732829725329
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Other bituminous coal",0.79435504205502
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Charcoal",0.893028514784848
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Fuel oil",0.587457195113913
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Gas/diesel oil excl. biofuels",0.716764393410673
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Liquefied petroleum gases (LPG)",0.946511402004417
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Motor gasoline excl. biofuels",0.82052626243278
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Other kerosene",0.89173486709613
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Primary solid biofuels",0.756210750706534
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Kerosene type jet fuel excl. biofuels",0.794507963118189
"South Africa","Total energy supply; Energy industry own use; Coke ovens","Electricity",0.773668587057275
"Ghana","Total energy supply; Energy industry own use; Oil refineries","Refinery gas",0.895721152655895
"South Africa","Total energy supply; Energy industry own use; Oil refineries","Electricity",0.594954170424074
"South Africa","Total energy supply; Energy industry own use; Oil refineries","Gas works gas",0.895721152655895
"South Africa","Total energy supply; Energy industry own use; Oil refineries","Refinery gas",0.895721152655895
"South Africa","Total energy supply; Energy industry own use; Liquefaction (LNG) / regasification plants","Electricity",0.773668587057275
"Ghana","Total energy supply; Energy industry own use; Own use in electricity, CHP and heat plants","Electricity",0.773668587057275
"South Africa","Total energy supply; Energy industry own use; Own use in electricity, CHP and heat plants","Electricity",0.773668587057275
"Ghana","Total energy supply; Energy industry own use; Pumped storage plants","Electricity",0.773668587057275
"South Africa","Total energy supply; Energy industry own use; Pumped storage plants","Electricity",0.773668587057275
"Ghana","Total energy supply; Energy industry own use; Non-specified (energy)","Electricity",0.80830517202513
"Ghana","Total energy supply; Energy industry own use; Non-specified (energy)","Refinery gas",0.895721152655895
"Ghana","Total energy supply; Energy industry own use; Non-specified (energy)","Charcoal",0.893028514784848
"Ghana","Total energy supply; Energy industry own use; Non-specified (energy)","Liquefied petroleum gases (LPG)",0.948275544269636
"Ghana","Total energy supply; Energy industry own use; Non-specified (energy)","Other kerosene",0.90781187190138
