"IEA.country.name","Flow","Product","2000"
"South Africa","Total energy supply; Energy industry own use; Coal mines","Electricity",0.080959137922914
"South Africa","Total energy supply; Energy industry own use; Oil and gas extraction","Electricity",0.226331412942725
"Ghana","Total energy supply; Energy industry own use; Gasification plants for biogases","Electricity",0.19169482797487
"Ghana","Total energy supply; Energy industry own use; Gasification plants for biogases","Refinery gas",0.104278847344105
"Ghana","Total energy supply; Energy industry own use; Gasification plants for biogases","Charcoal",0.106971485215152
"Ghana","Total energy supply; Energy industry own use; Gasification plants for biogases","Liquefied petroleum gases (LPG)",0.0517244557303636
"Ghana","Total energy supply; Energy industry own use; Gasification plants for biogases","Other kerosene",0.0921881280986199
"Ghana","Total energy supply; Energy industry own use; Gasification plants for biogases","Primary solid biofuels",0.278793291058741
"Ghana","Total energy supply; Energy industry own use; Gasification plants for biogases","Fuel oil",0.44345
"Ghana","Total energy supply; Energy industry own use; Gasification plants for biogases","Gas/diesel oil excl. biofuels",0.318223067081888
"Ghana","Total energy supply; Energy industry own use; Gasification plants for biogases","Motor gasoline excl. biofuels",0.17311104587129
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Electricity",0.265536900502136
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Gas works gas",0.264005070629683
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Refinery gas",0.104278847344105
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Blast furnace gas",0.257267170274671
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Coke oven coke",0.257267170274671
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Coke oven gas",0.257267170274671
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Other bituminous coal",0.20564495794498
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Charcoal",0.106971485215152
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Fuel oil",0.412542804886087
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Gas/diesel oil excl. biofuels",0.283235606589327
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Liquefied petroleum gases (LPG)",0.0534885979955833
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Motor gasoline excl. biofuels",0.17947373756722
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Other kerosene",0.10826513290387
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Primary solid biofuels",0.243789249293466
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Kerosene type jet fuel excl. biofuels",0.205492036881811
"South Africa","Total energy supply; Energy industry own use; Coke ovens","Electricity",0.226331412942725
"Ghana","Total energy supply; Energy industry own use; Oil refineries","Refinery gas",0.104278847344105
"South Africa","Total energy supply; Energy industry own use; Oil refineries","Electricity",0.405045829575926
"South Africa","Total energy supply; Energy industry own use; Oil refineries","Gas works gas",0.104278847344105
"South Africa","Total energy supply; Energy industry own use; Oil refineries","Refinery gas",0.104278847344105
"South Africa","Total energy supply; Energy industry own use; Liquefaction (LNG) / regasification plants","Electricity",0.226331412942725
"Ghana","Total energy supply; Energy industry own use; Own use in electricity, CHP and heat plants","Electricity",0.226331412942725
"South Africa","Total energy supply; Energy industry own use; Own use in electricity, CHP and heat plants","Electricity",0.226331412942725
"Ghana","Total energy supply; Energy industry own use; Pumped storage plants","Electricity",0.226331412942725
"South Africa","Total energy supply; Energy industry own use; Pumped storage plants","Electricity",0.226331412942725
"Ghana","Total energy supply; Energy industry own use; Non-specified (energy)","Electricity",0.19169482797487
"Ghana","Total energy supply; Energy industry own use; Non-specified (energy)","Refinery gas",0.104278847344105
"Ghana","Total energy supply; Energy industry own use; Non-specified (energy)","Charcoal",0.106971485215152
"Ghana","Total energy supply; Energy industry own use; Non-specified (energy)","Liquefied petroleum gases (LPG)",0.0517244557303636
"Ghana","Total energy supply; Energy industry own use; Non-specified (energy)","Other kerosene",0.0921881280986199
"Ghana","Total energy supply; Energy industry own use; Non-specified (energy)","Primary solid biofuels",0.278793291058741
"Ghana","Total energy supply; Energy industry own use; Non-specified (energy)","Fuel oil",0.44345
"Ghana","Total energy supply; Energy industry own use; Non-specified (energy)","Gas/diesel oil excl. biofuels",0.318223067081888
"Ghana","Total energy supply; Energy industry own use; Non-specified (energy)","Motor gasoline excl. biofuels",0.17311104587129
"South Africa","Total energy supply; Energy industry own use; Non-specified (energy)","Electricity",0.265536900502136
"South Africa","Total energy supply; Energy industry own use; Non-specified (energy)","Gas works gas",0.264005070629683
"South Africa","Total energy supply; Energy industry own use; Non-specified (energy)","Refinery gas",0.104278847344105
"South Africa","Total energy supply; Energy industry own use; Non-specified (energy)","Blast furnace gas",0.257267170274671
"South Africa","Total energy supply; Energy industry own use; Non-specified (energy)","Coke oven coke",0.257267170274671
"South Africa","Total energy supply; Energy industry own use; Non-specified (energy)","Coke oven gas",0.257267170274671
"South Africa","Total energy supply; Energy industry own use; Non-specified (energy)","Other bituminous coal",0.20564495794498
"South Africa","Total energy supply; Energy industry own use; Non-specified (energy)","Charcoal",0.106971485215152
"South Africa","Total energy supply; Energy industry own use; Non-specified (energy)","Fuel oil",0.412542804886087
"South Africa","Total energy supply; Energy industry own use; Non-specified (energy)","Gas/diesel oil excl. biofuels",0.283235606589327
"South Africa","Total energy supply; Energy industry own use; Non-specified (energy)","Liquefied petroleum gases (LPG)",0.0534885979955833
"South Africa","Total energy supply; Energy industry own use; Non-specified (energy)","Motor gasoline excl. biofuels",0.17947373756722
"South Africa","Total energy supply; Energy industry own use; Non-specified (energy)","Other kerosene",0.10826513290387
"South Africa","Total energy supply; Energy industry own use; Non-specified (energy)","Primary solid biofuels",0.243789249293466
"South Africa","Total energy supply; Energy industry own use; Non-specified (energy)","Kerosene type jet fuel excl. biofuels",0.205492036881811
"South Africa","Total energy supply; Total final consumption; Industry; Mining and quarrying","Electricity",0.397077010603275
"South Africa","Total energy supply; Total final consumption; Industry; Mining and quarrying","Gas works gas",0.104278847344105
"South Africa","Total energy supply; Total final consumption; Industry; Mining and quarrying","Other bituminous coal",0.0985215071129937
"South Africa","Total energy supply; Total final consumption; Industry; Mining and quarrying","Fuel oil",0.214109343669654
"South Africa","Total energy supply; Total final consumption; Industry; Mining and quarrying","Gas/diesel oil excl. biofuels",0.214109343669654
"South Africa","Total energy supply; Total final consumption; Industry; Mining and quarrying","Liquefied petroleum gases (LPG)",0.058956305571659
"South Africa","Total energy supply; Total final consumption; Industry; Mining and quarrying","Motor gasoline excl. biofuels",0.214109343669654
"South Africa","Total energy supply; Total final consumption; Industry; Mining and quarrying","Other kerosene",0.000471729311859444
"South Africa","Total energy supply; Total final consumption; Industry; Construction","Electricity",0.423500571089668
"South Africa","Total energy supply; Total final consumption; Industry; Construction","Fuel oil",0.44345
"South Africa","Total energy supply; Total final consumption; Industry; Construction","Gas/diesel oil excl. biofuels",0.44345
"South Africa","Total energy supply; Total final consumption; Industry; Construction","Liquefied petroleum gases (LPG)",0.058956305571659
"South Africa","Total energy supply; Total final consumption; Industry; Construction","Motor gasoline excl. biofuels",0.35476
"South Africa","Total energy supply; Total final consumption; Industry; Construction","Other kerosene",0.0921881280986199
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Iron and steel","Electricity",0.244237055171244
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Iron and steel","Gas works gas",0.257267170274671
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Iron and steel","Blast furnace gas",0.257267170274671
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Iron and steel","Coke oven coke",0.257267170274671
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Iron and steel","Coke oven gas",0.257267170274671
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Iron and steel","Other bituminous coal",0.257267170274671
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Chemical and petrochemical","Electricity",0.30217986016727
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Chemical and petrochemical","Gas works gas",0.437291770903662
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Chemical and petrochemical","Other bituminous coal",0.437291770903662
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Non-ferrous metals","Electricity",0.276012896576021
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Non-ferrous metals","Gas works gas",0.011864372942423
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Non-metallic minerals","Electricity",0.382969858716059
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Non-metallic minerals","Gas works gas",0.23086871919256
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Non-metallic minerals","Other bituminous coal",0.23086871919256
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Transport equipment","Electricity",0.276452934674586
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Transport equipment","Gas works gas",0.104278847344105
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Machinery","Electricity",0.249519560506763
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Machinery","Gas works gas",0.104278847344105
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Food and tobacco","Electricity",0.334570784315775
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Food and tobacco","Gas works gas",0.210493167294226
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Paper, pulp and printing","Electricity",0.487395277293383
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Paper, pulp and printing","Gas works gas",0.104278847344105
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Wood and wood products","Electricity",0.331250320056005
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Wood and wood products","Gas works gas",0.104278847344105
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Textile and leather","Electricity",0.346415266442254
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Textile and leather","Gas works gas",0.104278847344105
"Ghana","Total energy supply; Total final consumption; Industry; Industry not elsewhere specified","Electricity",0.226331412942725
"Ghana","Total energy supply; Total final consumption; Industry; Industry not elsewhere specified","Liquefied petroleum gases (LPG)",0.058956305571659
"Ghana","Total energy supply; Total final consumption; Industry; Industry not elsewhere specified","Other kerosene",0.0921881280986199
"Ghana","Total energy supply; Total final consumption; Industry; Industry not elsewhere specified","Primary solid biofuels",0.729729282013794
"Ghana","Total energy supply; Total final consumption; Industry; Industry not elsewhere specified","Fuel oil",0.44345
"Ghana","Total energy supply; Total final consumption; Industry; Industry not elsewhere specified","Gas/diesel oil excl. biofuels",0.44345
"South Africa","Total energy supply; Total final consumption; Industry; Industry not elsewhere specified","Electricity",0.226331412942725
"South Africa","Total energy supply; Total final consumption; Industry; Industry not elsewhere specified","Gas works gas",0.104278847344105
"South Africa","Total energy supply; Total final consumption; Industry; Industry not elsewhere specified","Other bituminous coal",0.0985215071129937
"South Africa","Total energy supply; Total final consumption; Industry; Industry not elsewhere specified","Fuel oil",0.44345
"South Africa","Total energy supply; Total final consumption; Industry; Industry not elsewhere specified","Other kerosene",0.0921881280986199
