"Country","Method","Energy.type","IEAMW","Chopped.mat","Chopped.var","Product.aggregation","Industry.aggregation","GrossNet","Sector","var","1971","2000"
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Agriculture/forestry","Final",73970.4940934237,103813.368069744
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Agriculture/forestry","Useful",10962.3274232367,24194.9672525535
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Agriculture/forestry","eta_fu",0.148198650794348,0.233062154734243
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Blast furnaces","Final",0,0
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Blast furnaces","Useful",0,0
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Blast furnaces","eta_fu",NA,NA
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Charcoal production plants","Final",0,0
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Charcoal production plants","Useful",0,0
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Charcoal production plants","eta_fu",NA,NA
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Chemical and petrochemical","Final",29037.32,54829.2608
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Chemical and petrochemical","Useful",1449.09041157243,21662.0736658621
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Chemical and petrochemical","eta_fu",0.0499044130647191,0.395082358393971
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Coal liquefaction plants","Final",0,0
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Coal liquefaction plants","Useful",0,0
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Coal liquefaction plants","eta_fu",NA,NA
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Coal mines","Final",2192.4,9939.6
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Coal mines","Useful",164.546349119788,804.701447298596
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Coal mines","eta_fu",0.0750530692938277,0.080959137922914
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Coke ovens","Final",0,3.6
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Coke ovens","Useful",0,0.81479308659381
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Coke ovens","eta_fu",NA,0.226331412942725
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Commercial and public services","Final",50672.8128033887,114268.842876147
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Commercial and public services","Useful",5312.41818412879,17553.8366717296
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Commercial and public services","eta_fu",0.104837641532572,0.153618748819884
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Construction","Final",2966.4,10817.0156
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Construction","Useful",1172.28973714146,4435.44824637402
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Construction","eta_fu",0.395189366619962,0.410043621123559
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Domestic aviation","Final",7611.436,27254.402
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Domestic aviation","Useful",1250.82248471911,5283.54960469405
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Domestic aviation","eta_fu",0.164334625518641,0.193860412152652
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Domestic navigation","Final",544.20188,1331.042954
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Domestic navigation","Useful",148.743899787708,402.427835614781
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Domestic navigation","eta_fu",0.273324854716981,0.302340232075472
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Final consumption not elsewhere specified","Final",32317.208,79377.7544
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Final consumption not elsewhere specified","Useful",3236.36156576437,9970.66024061514
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Final consumption not elsewhere specified","eta_fu",0.100143600454729,0.125610258390166
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Gross","Food and tobacco","Final",6022.8,3471.336
